13375|30 July 1941|Trinity College, Oxford
13368|24 August 1963|Aberdeen University
13369|21 July 1962|Polytechnic of East London
13370|24 April 1957|Thomas Rotherham College, Rotherham; Sheffield Hallam University
13371|28 March 1955|Queen's University, Belfast
13381|8 July 1912|Queens' College, Cambridge
13105|20 April 1931|RMA, Sandhurst
13104|16 November 1964|
13103|15 March 1951|Christ's College, Liverpool; St Andrews University
13102|13 March 1954|Warwick University; Birmingham University; University of East Anglia
13109|15 October 1921|
13108|16 May 1943|University College of Wales, Aberystwyth; Sussex University
13107|17 July 1947|Bristol University; London University Institute of Education; Brunel University
13106|20 November 1926|London School of Economics; University College, London
13097|15 April 1940|Brasenose College, Oxford
13096|30 March 1927|Christ Church, Oxford
12883|14 July 1938|Balliol College, Oxford
12884|4 March 1946|
10015|27 February 1941|
12882|6 December 1922|Ruskin College, Oxford; Gonville and Caius College, Cambridge
12879|20 March 1956|Bedford College, London University
12880|27 December 1951|
12877|16 June 1946|
12878|29 August 1923|Leverhulme scholarship to Royal Academy of Dramatic Art
12875|3 October 1956|
12876|29 September 1928|Balliol College, Oxford
13526|25 December 1946|New College, Oxford
13525|24 August 1930|
13528|3 November 1934|Magdalen College, Oxford
13527|3 January 1938|Trinity College, Cambridge
13521|17 June 1918|Royal Agricultural College, Cirencester
13524|31 January 1961|Southampton University
13523|14 October 1923|Correspondence course, qualified as Accountant
13512|11 June 1953|Sussex University; Kent University
13511|22 November 1928|Christ Church, Oxford; Westcott House, Cambridge
13503|18 October 1941|
13505|20 September 1939|Trinity College, Cambridge
13506|15 March 1936|St John's College, Cambridge
13507|22 June 1945|Nottingham University
13508|18 March 1932|
13509|3 November 1930|Jesus College, Cambridge
13510|31 July 1939|College of Education (London); Department of Education, Oxford University
13501|13 October 1933|Balliol College, Oxford
13502|10 December 1944|St Catherine's College, Oxford
13711|25 August 1944|Carleton University, Canada; Laval University, Canada; McGill University, Canada
13241|27 September 1942|London School of Economics
13240|29 July 1952|Trinity College, Cambridge; Wharton Business School, University of Pennsylvania
13238|4 October 1922|Toronto University; New College, Oxford
13367|24 June 1934|Trinity College, Oxford
13692|26 May 1938|
12981|8 May 1940|Glasgow University
10054|8 October 1929|Dewsbury College of Commerce and Art
12980|13 March 1931|Manchester University
12985|21 March 1930|King's College, London University
12986|19 May 1943|Law Society School of Law, College of Law
12983|2 April 1943|Britannia Royal Naval College, Dartmouth
12984|20 December 1946|
13028|9 September 1936|Reading University
13034|6 October 1939|Wadham College, Oxford
